nama_tempat,deskripsi,kategori
Penatapan Simarjarunjung,"Kawasan wisata dengan spot foto menarik, ayunan, rumah pohon, dan fasilitas lengkap lainnya.",Gardu Pandang
The Waterfall - Taman Simalem Resort,"Air terjun buatan dengan keindahan alam, pemandangan Danau Toba, dan suasana sejuk.",Air Terjun
Penatapen Doulu,"Destinasi wisata alam dengan pemandangan perbukitan asri, udara segar, dan spot foto menarik.",Gardu Pandang
Lau mentar canyon,Keindahan alami berupa ngarai dengan formasi bebatuan unik dan aliran sungai yang menawan.,Goa / Ngarai
Danau Lau Kawar,"Danau vulkanik indah di kaki Gunung Sinabung, menawarkan pemandangan asri dan suasana sejuk.",Danau
Wisata Alam Fishing-Camp Siarubung,"Destinasi memancing dan berkemah di alam terbuka, cocok untuk relaksasi dan petualangan.",Wisata Petualangan
Wisata Alam Peken Tebu,Kawasan perkebunan tebu yang menawarkan pengalaman edukasi dan pemandangan alam memukau.,Agrowisata
Wisata Alam Pohon Damai Simempar,"Tempat teduh dengan pepohonan rindang, cocok untuk bersantai dan menikmati ketenangan alam.",Wisata Alam
Bukit Lawang Wisata Alam,"Pusat rehabilitasi orangutan di Taman Nasional Gunung Leuser, menawarkan pengalaman bertemu primata.",Taman Nasional
Danau Toba Parapat,"Danau vulkanik terbesar di dunia, menawarkan keindahan alam menakjubkan dan budaya Batak kaya.",Danau
Wisata Anugerah Indah Sippan,"Destinasi dengan panorama danau dan perbukitan, menyediakan spot foto, dan penginapan nyaman.",Gardu Pandang
GaBOk,"Kawasan wisata edukasi dan konservasi lingkungan, menampilkan keindahan alam dan flora lokal.",Wisata Edukasi
Danau Aek Natonang,"Danau kecil alami dengan air jernih dan suasana tenang, cocok untuk relaksasi dan memancing.",Danau
WISATA ALAM PASIR PUTIH PARPAREAN,"Pantai berpasir putih bersih dengan air danau tenang, cocok untuk berenang dan bersantai.",Pantai
Wisata Alam Paya Sihorkor,"Destinasi alam berupa rawa dengan keanekaragaman hayati, cocok untuk pengamatan burung.",Ekowisata
Geosite Sipinsur,"Spot terbaik melihat Danau Toba dari ketinggian, menawarkan pemandangan spektakuler dan udara segar.",Gardu Pandang
Pemandian Alam Gantang Rani,"Pemandian alami dengan air jernih dan segar, dikelilingi pepohonan rindang dan suasana tenang.",Pemandian Alam
Air Terjun Situmurun,"Air terjun unik yang langsung jatuh ke Danau Toba, menawarkan pemandangan alam memukau.",Air Terjun
Wisata Alam Syaakirah The View and Resto,"Destinasi dengan pemandangan indah, restoran nyaman, dan spot foto menarik di ketinggian.",Kuliner
Pemandian Alam Sejuk Pas,"Pemandian alami dengan air dingin dan segar, menawarkan ketenangan di tengah rimbunnya pohon.",Pemandian Alam
Tanjung Unta,"Sebuah tanjung dengan pemandangan laut yang menawan, cocok untuk bersantai dan menikmati keindahan pantai.",Pantai
Air Terjun Janji,"Air terjun tersembunyi dengan kolam alami yang jernih, menawarkan suasana damai dan sejuk.",Air Terjun
Air Terjun Sipisopiso,"Air terjun ikonik Sumatera Utara, menawarkan pemandangan menakjubkan dan kearifan lokal.",Air Terjun
Puncak Huta Ginjang,"Titik pandang terbaik untuk menikmati panorama Danau Toba dari ketinggian, udara sejuk.",Puncak
WISATA ALAM BEDENG 7,"Kawasan alam dengan perkebunan, sungai, dan air terjun kecil, cocok untuk rekreasi keluarga.",Wisata Alam
Wisata Alam Sini Suka,Destinasi wisata alam yang menawarkan berbagai wahana dan pemandangan indah untuk keluarga.,Taman Rekreasi
Taman Eden 100,"Kebun raya dengan berbagai jenis tanaman, air terjun, dan penginapan, cocok untuk edukasi.",Taman
Bukit Senyum,"Bukit dengan pemandangan kota dan pegunungan, tempat ideal untuk menikmati matahari terbit/terbenam.",Bukit
Air Terjun Teroh-Teroh Petar,"Air terjun alami dengan kolam air jernih, cocok untuk berenang dan menikmati kesegaran alam.",Air Terjun
T.GARDEN Little Bali in Medan,"Taman rekreasi dengan nuansa Bali, kolam renang, dan spot foto menarik di Medan.",Taman Rekreasi
Manigom Nauli,"Desa wisata dengan keindahan alam, budaya lokal, dan penginapan tradisional di pinggir Danau Toba.",Desa Wisata
Bukit Sipatungan,"Bukit dengan pemandangan hijau dan udara segar, cocok untuk trekking dan menikmati alam.",Bukit
Wisata Alam Tunggul Naga,"Kawasan hutan pinus dengan suasana tenang, ideal untuk berkemah dan bersantai.",Hutan Wisata
Rekreasi Lau Penda,"Pemandian alami dengan air jernih, cocok untuk rekreasi keluarga dan menikmati kesegaran alam.",Pemandian Alam
Ekowisata Mangrove Sicanang,"Hutan mangrove yang terjaga, menawarkan edukasi lingkungan dan keindahan alam pesisir.",Ekowisata Mangrove
Puncak Merga Silima,"Puncak bukit dengan pemandangan indah, cocok untuk melihat matahari terbit dan berkemah.",Puncak
Wisata Alam Pantai Geger,"Pantai dengan pasir putih, air biru jernih, dan pemandangan bawah laut yang memukau.",Pantai
Pemandian Alam Tirta Sayum Sabah,"Pemandian alami dengan air bersih dan sejuk, dikelilingi pepohonan rindang dan suasana asri.",Pemandian Alam
Pemandian kampung gunung,"Pemandian tradisional di desa, menawarkan pengalaman budaya dan kesegaran air alami.",Pemandian Alam
Wisata Alam Mangrove Desa Silo Baru,"Hutan mangrove yang lestari, cocok untuk edukasi, konservasi, dan menikmati keindahan alam.",Ekowisata Mangrove
Posko Air Terjun Satu Hati (Tibrena),"Pintu masuk menuju air terjun tersembunyi, menawarkan petualangan alam yang menarik.",Air Terjun
Penatapan Pamah Simelir,"Destinasi dengan pemandangan Danau Toba dari ketinggian, spot foto menarik, dan suasana sejuk.",Gardu Pandang
Bukit Doa,Tempat ziarah dan meditasi dengan pemandangan alam yang indah dan suasana yang tenang.,Wisata Religi
Wisata Pemandian Alam Swembath (Loc: Sweembat),"Pemandian alami yang menyegarkan, cocok untuk rekreasi keluarga dan menikmati alam terbuka.",Pemandian Alam
wisata alam pemandian bahbolon huta bayu Desa Bartong,"Pemandian alami di pedesaan, menawarkan air bersih dan sejuk, serta suasana tenang.",Pemandian Alam
Batu Gantung,"Legenda batu menggantung di Danau Toba, menawarkan pemandangan unik dan kisah menarik.",Situs Legenda
Aek Sijorni,"Air terjun dengan aliran berundak di bebatuan, membentuk kolam-kolam alami yang indah.",Air Terjun
TAHURA (Taman Hutan Raya),"Kawasan konservasi hutan dengan berbagai jenis flora dan fauna, cocok untuk edukasi.",Hutan Wisata
Air Terjun Efrata,"Air terjun indah di Balige, menawarkan pemandangan alam yang asri dan udara yang sejuk.",Air Terjun
Wisata Punden Rejo,"Situs purbakala dengan punden berundak, menawarkan sejarah dan keindahan alam.",Situs Sejarah
Pemandian Alam Loknya,"Pemandian alami dengan air jernih dan segar, cocok untuk berendam dan bersantai.",Pemandian Alam
Air Terjun Pelangi Indah,"Air terjun dengan kolam alami, di mana pelangi sering terlihat pada saat tertentu.",Air Terjun
Air Terjun Siringo,"Air terjun tersembunyi dengan suasana sejuk dan damai, cocok untuk pecinta alam.",Air Terjun
Air Terjun Aek Limut,"Air terjun alami dengan bebatuan berlumut, menciptakan pemandangan hijau yang unik.",Air Terjun
Wisata Bunga,"Taman bunga dengan berbagai jenis bunga berwarna-warni, cocok untuk spot foto.",Taman
Sibiobio Adventure Park,"Taman rekreasi dengan wahana outbound, flying fox, dan kegiatan menantang lainnya.",Wisata Petualangan
Pemandian Sikabung-kabung,"Pemandian alami dengan air jernih dan suasana tenang, cocok untuk bersantai bersama keluarga.",Pemandian Alam
Wisata alam Efrata,Air terjun populer di Tapanuli Utara dengan pemandangan indah dan suasana sejuk.,Air Terjun
Ecowisata batu katak,"Kawasan konservasi satwa dan flora, menawarkan pengalaman menjelajahi hutan hujan tropis.",Ekowisata
Objek wisata sungai 2 Rasa,"Fenomena unik pertemuan dua aliran sungai dengan warna berbeda, menciptakan pemandangan menarik.",Wisata Alam
Salib Kasih,"Monumen salib besar di bukit, tempat ziarah dengan pemandangan indah dan sejarah penting.",Wisata Religi
Air Terjun Lau Lutih Tanjung Raja,"Air terjun tersembunyi dengan kolam alami yang jernih, menawarkan ketenangan alam.",Air Terjun
AIR TERJUN TURUNAN BUHIT (JABEL),"Air terjun alami dengan undakan bebatuan, cocok untuk menikmati kesegaran air.",Air Terjun
Wisata Sejahtera,Destinasi wisata yang menawarkan ketenangan alam dan berbagai fasilitas rekreasi.,Taman Rekreasi
Wisata Alam Sidauruk,"Kawasan alami dengan pepohonan rindang dan udara segar, cocok untuk piknik keluarga.",Wisata Alam
Wisata Pemandian Alam SENTABI,"Pemandian alami dengan air segar dari mata air, cocok untuk relaksasi dan refreshing.",Pemandian Alam
View Point Tongging Geopark Kaldera Toba,Titik pandang spektakuler untuk menikmati keindahan Danau Toba dan kaldera purba.,Gardu Pandang
WISATA INDAH SIPPAN (WIS) JUMA REBEN 2,"Destinasi dengan pemandangan danau dan perbukitan, serta fasilitas untuk berkumpul keluarga.",Gardu Pandang
Kebun Teh Sidamanik,"Hamparan kebun teh hijau yang luas, menawarkan pemandangan indah dan udara sejuk.",Agrowisata
Bukit Sibeabea,"Bukit ikonik dengan patung Yesus besar, menawarkan pemandangan Danau Toba yang menakjubkan.",Wisata Religi
Siregar Aek Nalas,"Pemandian alami dengan air jernih yang mengalir dari bebatuan, memberikan kesegaran.",Pemandian Alam
Air Terjun Sampuren Putih,"Air terjun dengan aliran air berwarna putih, menciptakan pemandangan yang unik dan menawan.",Air Terjun
TAMAN ALAMTA JAYA,"Taman rekreasi dengan berbagai wahana, kolam renang, dan area bermain anak.",Taman Rekreasi
Sungai Buih,"Sungai dengan gelembung-gelembung alami, menciptakan pemandangan unik dan menarik perhatian.",Wisata Alam
Kampung Ladang Outbound,"Area outbound dengan berbagai permainan menantang, cocok untuk kegiatan kelompok dan keluarga.",Wisata Petualangan
Wisata Danau Palas Asri,"Danau buatan dengan pemandangan yang asri, cocok untuk memancing dan bersantai.",Danau
Bukit Burung,"Bukit yang menjadi habitat berbagai jenis burung, cocok untuk pengamatan burung.",Bukit
Puncak Hauma Hela,"Puncak dengan pemandangan perbukitan hijau, tempat ideal untuk menikmati matahari terbit.",Puncak
Tangkahan CRU,"Pusat konservasi gajah di Taman Nasional Gunung Leuser, menawarkan pengalaman berinteraksi dengan gajah.",Taman Nasional
Pemandian Alam ULUTA,"Pemandian alami dengan air bersih dan sejuk, dikelilingi pepohonan rindang.",Pemandian Alam
Wisata Kampong Lama,"Desa tradisional yang menjaga adat dan budaya lokal, menawarkan pengalaman hidup pedesaan.",Desa Wisata
Wisata Alam,"Destinasi umum yang menawarkan keindahan alam, seperti pemandangan pegunungan atau danau.",Wisata Alam
Monkey Forest Umar Manik Sibaganding,"Hutan yang dihuni banyak monyet liar, cocok untuk melihat interaksi hewan.",Taman Satwa
Simarjarunjung carabel,"Spot foto unik dengan replika kapal karabel, menawarkan pemandangan Danau Toba.",Gardu Pandang
Air terjun dua warna,"Air terjun unik dengan dua warna air berbeda, hasil dari kandungan mineral di dalamnya.",Air Terjun
Arung Jeram Ancol,"Destinasi arung jeram yang menantang, cocok untuk pecinta petualangan dan aktivitas air.",Wisata Petualangan
Danau alam jaya tuntungan,"Danau buatan dengan pemandangan hijau, cocok untuk rekreasi, memancing, dan bersantai.",Danau
Pulo Bisky (Pantai Wisky),"Pulau kecil dengan pantai berpasir putih, cocok untuk bersantai dan snorkeling.",Pulau
Taman Seribu Bunga Raya,"Taman bunga raya dengan ribuan varietas, menawarkan pemandangan indah dan edukasi botani.",Taman
Pasar Ikan Lama Medan,Pasar tradisional yang menjual berbagai jenis ikan segar dan hasil laut lainnya.,Pasar Tradisional
Pasar Tomok,"Pasar tradisional di Samosir, menjual souvenir Batak dan oleh-oleh khas daerah.",Pasar Tradisional
Tjong A Fie Mansion,"Rumah bersejarah seorang dermawan Tionghoa, menampilkan arsitektur dan barang antik.",Situs Sejarah
Yuki Simpang Raya,"Pusat perbelanjaan dan hiburan modern di Medan, menawarkan berbagai produk dan kuliner.",Pusat Perbelanjaan
Museum Negeri Sumatera Utara,"Museum terbesar di Sumatera Utara, menyimpan koleksi sejarah, seni, dan budaya daerah.",Museum
Plaza Medan Fair,"Salah satu pusat perbelanjaan terbesar di Medan, menawarkan berbagai toko dan hiburan.",Pusat Perbelanjaan
Medan Mall,"Pusat perbelanjaan populer di Medan, menyediakan beragam kebutuhan dan hiburan keluarga.",Pusat Perbelanjaan
Pasar Petisah Medan,"Pasar tradisional yang menjual berbagai barang, mulai dari makanan hingga pakaian.",Pasar Tradisional
Mall Centre Point (Medan),"Mal modern dengan bioskop, restoran, dan toko merek ternama di pusat kota Medan.",Pusat Perbelanjaan
BINJAI MILENIAL MARKET,"Pusat kuliner modern dengan konsep unik, menawarkan beragam hidangan kekinian.",Kuliner
Pantai Bali Lestari,"Pantai buatan dengan nuansa Bali, cocok untuk bersantai dan menikmati suasana liburan.",Pantai
DeliPark Mall,"Mal mewah di Medan, menawarkan pengalaman belanja premium dan beragam pilihan kuliner.",Pusat Perbelanjaan
Wisata Merci Themepark and Resto,"Taman hiburan keluarga dengan wahana seru dan restoran, cocok untuk semua usia.",Taman Rekreasi
Pekan Minggu Percut Sei Tuan Deli Serdang,"Pasar mingguan yang menjual produk lokal, makanan, dan barang-barang unik.",Pasar Tradisional
Thamrin Plaza,"Pusat perbelanjaan yang ramai di Medan, menawarkan berbagai toko dan tempat makan.",Pusat Perbelanjaan
Manhattan Times Square,"Mal dengan konsep unik, menyediakan berbagai toko, bioskop, dan area hiburan.",Pusat Perbelanjaan
Pusat Pasar Pangaribuan,"Pasar tradisional di Pangaribuan, pusat aktivitas ekonomi dan pertemuan masyarakat lokal.",Pasar Tradisional
Taman Bunga Sapo Juma,"Taman bunga indah dengan pemandangan danau, menawarkan spot foto yang menawan.",Taman
Tikung Point,"Titik pandang strategis di jalan berkelok, menawarkan pemandangan alam yang spektakuler.",Gardu Pandang
Tjong Yong Hian Gallery,Galeri seni yang menampilkan koleksi karya seni dan sejarah lokal.,Galeri Seni
Pertunjukan Tari Sigalegale,"Pertunjukan boneka kayu tradisional Batak yang unik, menggambarkan budaya dan kepercayaan.",Atraksi Budaya
Suzuya Mall Rantau Prapat,"Pusat perbelanjaan modern di Rantau Prapat, menyediakan berbagai kebutuhan sehari-hari.",Pusat Perbelanjaan
Pos Bloc Medan,Ruang kreatif dan pusat kegiatan komunitas di bangunan bersejarah Kantor Pos Medan.,Ruang Kreatif
Gunung Sibayak,"Gunung berapi aktif dengan kawah belerang, populer untuk pendakian dan pemandian air panas.",Gunung
Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),"Situs sejarah berupa kursi batu peninggalan raja Batak, tempat pengadilan zaman dahulu.",Situs Sejarah
Istana Kaldera Unesco Geopark Danau Toba,"Pusat informasi dan edukasi tentang geologi Danau Toba, bagian dari Geopark.",Wisata Edukasi
Desa Budaya Lingga,Desa tradisional Karo yang masih menjaga rumah adat dan kebudayaan asli.,Desa Wisata
Tugu Makam Raja Silahisabungan,"Makam raja Siahisabungan, situs sejarah penting bagi marga Silahisabungan.",Situs Sejarah
Tugu Perjuangan,"Monumen yang mengenang perjuangan pahlawan lokal, simbol keberanian dan pengorbanan.",Monumen
Cagar Budaya Situs Benteng Putri Hijau,"Reruntuhan benteng bersejarah, menyimpan kisah legenda Putri Hijau dan sejarah kerajaan.",Situs Sejarah
Taman Budaya Sumatera Utara,"Pusat seni dan budaya, tempat pertunjukan seni, pameran, dan kegiatan budaya lainnya.",Taman Budaya
Tugu Kol,Monumen bersejarah yang menandai peristiwa penting atau tokoh lokal.,Monumen
Rahmat International Wildlife Museum & Gallery,"Museum satwa liar terlengkap di Asia, menampilkan berbagai koleksi hewan dari seluruh dunia.",Museum
Museum Perkebunan Indonesia (MUSPERIN-1),"Museum yang mengisahkan sejarah perkebunan di Indonesia, menampilkan alat dan hasil perkebunan.",Museum
Museum Sejarah Al-Qur'an Sumatera Utara,Museum yang menyimpan koleksi Al-Qur'an kuno dan benda-benda bersejarah Islam.,Museum
Meriam Puntung,"Meriam legendaris yang dipercaya memiliki kekuatan mistis, bagian dari cerita rakyat.",Situs Legenda
Istana Raja Sisingamangaraja,"Bekas kediaman Raja Sisingamangaraja XII, pahlawan nasional, penuh sejarah dan budaya Batak.",Situs Sejarah
Situs Objek Diduga Cagar Budaya Batu Sijongjong dan Batu Sigadap,"Situs arkeologi dengan batuan purba, menyimpan jejak peradaban masa lalu.",Situs Sejarah
Rumah Adat Karo GARISTA,"Rumah tradisional Karo yang megah dan autentik, menampilkan arsitektur dan budaya.",Wisata Budaya
Museum Pusaka Karo,Museum yang menyimpan koleksi benda-benda pusaka dan artefak budaya Karo.,Museum
Tempat Pengasingan Soekarno,"Rumah bersejarah tempat Presiden Soekarno pernah diasingkan, menyimpan nilai sejarah penting.",Situs Sejarah
Museum Perjuangan Pers Sumatera Utara,Museum yang mendokumentasikan sejarah perjuangan pers dan jurnalis di Sumatera Utara.,Museum
Replika ISTANA SERDANG,"Replika istana kesultanan Serdang, menampilkan keagungan arsitektur dan sejarah kerajaan.",Situs Sejarah
Budayaland,"Pusat edukasi dan rekreasi bertema budaya, memperkenalkan kekayaan seni dan tradisi lokal.",Wisata Budaya
Cagar Budaya Puteri Hijau,"Situs arkeologi yang terkait dengan legenda Putri Hijau, bagian dari sejarah lokal.",Situs Sejarah
Museum Letjen Jamin Gintings,"Museum yang mengenang jasa Letjen Jamin Gintings, pahlawan nasional dari Tanah Karo.",Museum
"Wisata Desa Budaya To joyo ""SUGENG RAWUH""","Desa wisata yang menampilkan budaya Jawa, menawarkan pengalaman seni dan kerajinan tangan.",Desa Wisata
Tugu Toga Aritonang,"Monumen yang menghormati marga Aritonang, simbol persatuan dan sejarah keluarga.",Monumen
"Oud Médan , Warenhuis","Bangunan tua bergaya kolonial, dulunya pusat perbelanjaan, kini menjadi situs bersejarah.",Situs Sejarah
Tugu Perjuangan Berastagi,"Monumen peringatan perjuangan rakyat Berastagi, simbol patriotisme dan sejarah daerah.",Monumen
Museum Daerah Deli Serdang,"Museum yang menampilkan sejarah dan budaya Kabupaten Deli Serdang, koleksi artefak lokal.",Museum
Museum Situs Kotta Cinna,"Situs arkeologi yang mengungkap peradaban kuno, dengan temuan artefak bersejarah.",Museum
Istana Maimun,"Istana Kesultanan Deli yang megah, menampilkan arsitektur Melayu dan peninggalan sejarah kerajaan.",Istana
"Menara "" Hindia Belanda "" Tirtanadi","Menara air peninggalan Belanda, arsitektur klasik, menjadi ikon kota Medan.",Situs Sejarah
Tugu Titik Nol Peradaban Islam Nusantara,Monumen yang menandai titik awal peradaban Islam di Nusantara.,Monumen
Candi Bahal I,"Kompleks candi Buddha kuno dari abad ke-11, menampilkan arsitektur unik dan nilai sejarah.",Candi
Museum Simalungun,"Museum yang menyimpan koleksi sejarah, seni, dan budaya masyarakat Simalungun.",Museum
Vihara Gunung Timur,"Vihara tertua di Medan, pusat ibadah Buddha dengan arsitektur tradisional Tionghoa.",Wisata Religi
Prima Wisata Edukasi Desa Selemak,"Desa edukasi pertanian, mengajarkan proses bercocok tanam dan kehidupan pedesaan.",Wisata Edukasi
Avros Park,"Taman rekreasi dengan area hijau, kolam renang, dan fasilitas bermain untuk keluarga.",Taman Rekreasi
Dusun Kreatif,"Area edukasi dan kreativitas dengan berbagai workshop, seni, dan kerajinan tangan.",Wisata Edukasi
Kebun Efi,"Agrowisata dengan kebun buah dan sayur, serta area bermain, cocok untuk edukasi keluarga.",Agrowisata
Central Park Zoo & Resort,"Kebun binatang dan resort, menampilkan berbagai satwa dan fasilitas penginapan.",Kebun Binatang
Ladang Edukasi - Mitra Outing Class Anda,"Area edukasi luar ruangan untuk siswa, menawarkan kegiatan belajar interaktif.",Wisata Edukasi
Taman Wisata Kera Sibaganding,"Kawasan hutan yang dihuni kera-kera liar, cocok untuk pengamatan satwa.",Taman Satwa
Taman Edukasi Binjai,"Taman dengan fasilitas edukasi dan permainan anak, cocok untuk kegiatan belajar outdoor.",Wisata Edukasi
Kandang Rusa - Universitas Sumatera Utara,"Kandang penangkaran rusa di lingkungan kampus USU, objek edukasi satwa.",Taman Satwa
Agrowisata Paloh Naga,"Destinasi agrowisata dengan kebun buah naga, edukasi pertanian, dan spot foto.",Agrowisata
Taman Biro Rektor Universitas Sumatera Utara,"Taman di lingkungan kampus USU, tempat bersantai dengan pemandangan asri.",Taman
Taman Burung Cemara Asri,"Taman yang dihuni berbagai jenis burung, cocok untuk pengamatan dan fotografi burung.",Taman Satwa
Potret Edupark,"Taman edukasi dan rekreasi dengan berbagai wahana, spot foto, dan area bermain anak.",Taman Rekreasi
Rumah Makan Sipirok,"Restoran yang menyajikan masakan khas Sipirok, Sumatera Utara, dengan cita rasa autentik.",Kuliner
Wajir Seafood,"Restoran seafood populer di Medan, menyajikan hidangan laut segar dan lezat.",Kuliner
Sate Memeng,"Warung sate legendaris dengan cita rasa khas, menjadi favorit kuliner lokal.",Kuliner
Sawah Lukis,"Restoran dengan konsep unik di tengah sawah, menawarkan suasana pedesaan yang indah.",Kuliner
Mie Aceh Titi Bobrok,"Warung mie Aceh terkenal dengan rasa pedas dan rempah kuat, favorit warga Medan.",Kuliner
Rumah Makan Sinar Pagi,"Restoran legendaris yang menyajikan soto Medan lezat, cocok untuk sarapan.",Kuliner
Arrasyiid cookies cake snack,Toko kue dan camilan yang menyajikan berbagai pilihan kue kering dan jajanan.,Kuliner
Nasi Goreng Wak Ribut,Warung nasi goreng populer dengan bumbu khas dan porsi melimpah.,Kuliner
Rumah Makan Tabona,"Restoran dengan hidangan khas Batak, terutama soto dan sup, cocok untuk makan siang.",Kuliner
Budaya Resto,"Restoran dengan konsep tradisional, menyajikan hidangan lokal dan suasana etnik.",Kuliner
Kuliner Pagaruyung,Kawasan kuliner di Medan yang menawarkan berbagai hidangan khas Minangkabau dan Melayu.,Kuliner
KAKUTA -Binjai,"Restoran atau tempat makan di Binjai, menawarkan berbagai menu makanan dan minuman.",Kuliner
sama dengan wisata kampung lama,"Destinasi yang mirip dengan wisata kampung lama, kemungkinan desa tradisional.",Desa Wisata
Wisata kuliner mangga Bridge,"Area kuliner dengan pemandangan jembatan dan sungai, menawarkan suasana makan outdoor.",Kuliner
Joglo28 kuliner,"Restoran bergaya Jawa dengan hidangan khas Indonesia, suasana nyaman dan tradisional.",Kuliner
SM Raja Kuliner,"Pusat kuliner di jalan Sisingamangaraja, menawarkan beragam pilihan makanan lokal.",Kuliner
Nasi Goreng Pemuda,"Warung nasi goreng terkenal, sering menjadi pilihan favorit untuk makan malam.",Kuliner
Rumah Makan Cahaya Putri,"Restoran keluarga dengan berbagai hidangan Indonesia, cocok untuk bersantap bersama.",Kuliner
Pasar Kamu (Pekan Sarapan Karya Anak Muda),Pasar kreatif yang menjual sarapan unik dan produk dari UMKM lokal.,Kuliner
Wisata kuliner cinta lisa,"Destinasi kuliner dengan berbagai pilihan makanan, tempat nongkrong yang populer.",Kuliner
Rumah Makan Kebun Pondok Punokawan,"Restoran dengan suasana taman, menyajikan hidangan khas Indonesia dan suasana alami.",Kuliner
Pondok Naga Pantai Galau,"Restoran seafood di tepi pantai, menawarkan pemandangan laut dan hidangan laut segar.",Kuliner
SIMPANG BODREX (Kuliner Pasar Miring),"Pusat kuliner malam yang ramai di Medan, menawarkan berbagai jajanan dan makanan kaki lima.",Kuliner
Hasnah Kuliner,Tempat makan yang menyajikan hidangan khas lokal dengan cita rasa autentik.,Kuliner
Gundaling Farmstead,"Peternakan sapi perah dan pengolahan susu, menawarkan produk olahan susu segar.",Agrowisata
Restoran Terapung,"Restoran dengan konsep terapung di danau atau sungai, menawarkan pengalaman makan unik.",Kuliner
Bihun Bebek Asie,"Kedai bihun bebek legendaris di Medan, terkenal dengan kuah kaldu kental dan daging empuk.",Kuliner
Green's Cafe Balige,"Kafe nyaman di Balige, menawarkan kopi, makanan ringan, dan pemandangan Danau Toba.",Kuliner
ALUN ALUN,"Ruang publik pusat kota, tempat berkumpul, bersantai, dan menikmati suasana kota.",Ruang Publik
Kuliner Teh Pipih,Tempat makan yang dikenal dengan teh hangat dan aneka kue tradisional.,Kuliner
RM. Beringin Indah 2,"Restoran keluarga yang menyajikan masakan Indonesia, cocok untuk bersantap ramai-ramai.",Kuliner
KAMPUNG NUSANTARA,Destinasi wisata yang menampilkan miniatur rumah adat dari berbagai daerah di Indonesia.,Taman Budaya
Warung Wajik Peceren H Ngadimin,"Warung yang terkenal dengan wajik peceren, kudapan manis tradisional.",Kuliner
Waroeng Balek Kampoeng,"Restoran dengan suasana pedesaan, menyajikan hidangan khas Indonesia dengan cita rasa rumahan.",Kuliner
Pondok Surya,"Tempat makan dengan berbagai hidangan tradisional, cocok untuk bersantap siang atau malam.",Kuliner
Lontong Kak Lin,"Warung lontong sayur legendaris di Medan, terkenal dengan kuah kental dan bumbu khas.",Kuliner
KWETIAU ALUANG BRAHRANG,"Kedai kwetiau populer dengan rasa otentik, menjadi favorit pecinta kuliner Medan.",Kuliner
RM. Beringin Indah 1,"Restoran yang menyajikan hidangan Indonesia, pilihan populer untuk makan bersama keluarga.",Kuliner
Waroeng Waswas,"Tempat makan dengan hidangan pedas, cocok bagi penggemar makanan menantang.",Kuliner
Pondok Telaga Ikan,"Restoran dengan konsep lesehan di tepi telaga, menyajikan hidangan ikan segar.",Kuliner
Rumah Makan Elizabeth,"Restoran populer yang menyajikan aneka hidangan Indonesia, cocok untuk segala selera.",Kuliner
Kawasan Wisata Kuliner Pantai Padang,"Pusat kuliner di tepi pantai, menawarkan hidangan laut segar dan suasana pesisir.",Kuliner
Kafe Keboen,"Kafe dengan konsep taman, menyajikan kopi dan hidangan ringan dalam suasana alami.",Kuliner
Mie Ayam Jamur Spesial Haji Mahmud,"Kedai mie ayam jamur legendaris di Medan, terkenal dengan rasa gurih.",Kuliner
